AF3_THETA,AF3_LOW_BETA,AF3_GAMMA,T7_ALPHA,T7_HIGH_BETA,Pz_THETA,Pz_LOW_BETA,Pz_GAMMA,T8_ALPHA,T8_HIGH_BETA,AF4_THETA,AF4_LOW_BETA,Label
79980.96608,9784.376085,1312.97312,273.539829,127.375215,78704.47881,9497.698751,1305.287687,36300.80936,4807.755911,78487.15156,9596.354999,1
90293.42512,10233.84295,1434.346143,287.80969,134.296415,88864.77299,9950.805383,1422.741365,37435.49649,5252.288375,88544.76517,10029.2884,1
88629.94191,9470.958456,1356.721129,262.417841,122.686713,87241.61929,9212.97577,1342.646215,33885.29954,4998.374311,86814.05188,9267.181869,1
75052.92854,7703.717379,1105.392493,206.292887,96.425507,73891.92491,7492.627604,1091.474374,26849.28978,4108.379524,73402.00837,7520.264995,1
54248.65939,5441.386836,763.621732,137.986174,64.174677,53472.33847,5293.214383,752.542201,18557.07458,2873.650174,52946.54342,5292.957155,1
32433.3731,3270.871524,434.83223,77.089739,35.306374,32095.84314,3192.831222,428.160139,11281.74868,1677.360228,31551.70528,3162.09508,1
15341.63076,1645.254146,195.632994,36.007067,15.893541,15401.0953,1632.474833,193.236261,6414.728061,824.522105,14823.41225,1568.332465,1
5636.760318,773.990602,72.432442,16.329901,6.810048,5957.765033,807.968073,72.667214,4157.451849,426.028785,5315.200414,706.925857,1
2726.817884,582.229939,41.859661,11.344565,4.852979,3121.174477,635.010995,42.47042,3807.0184,394.673979,2394.08448,494.960567,1
3869.807991,828.74164,58.435169,12.29922,5.909699,4162.941756,870.949819,57.621353,4439.7727,559.196947,3349.565043,693.812994,1
6749.551081,1303.840784,88.499954,14.08891,7.600335,6799.782909,1311.745211,85.43683,5548.822132,798.484211,5938.961268,1103.615847,1
10660.91269,1889.414184,118.171605,15.636234,9.150023,10350.15633,1844.010804,112.803636,6943.818056,1045.327339,9520.341557,1619.193844,1
15468.41421,2468.880026,140.783744,16.914264,10.23426,14704.73321,2360.294142,133.580684,8421.86528,1251.717747,14049.34016,2142.41614,1
21102.67324,2894.386588,155.16766,18.0753,10.902254,19821.81408,2728.150526,146.883358,9718.872507,1419.090334,19570.88258,2543.637121,1
27207.89503,3082.434108,167.221952,19.581719,11.539248,25393.15708,2876.635664,158.505149,10783.38758,1593.815839,25776.83339,2750.189051,1
33537.42924,3052.924167,186.512466,22.193935,12.620622,31188.08233,2828.042113,177.514647,11987.982,1841.120636,32405.37648,2780.483043,1
39350.74466,3001.780019,219.565669,26.405635,14.359166,36505.15097,2765.3072,209.796008,13856.33748,2183.938321,38597.03139,2813.473684,1
44633.51581,3191.180996,264.444931,31.590219,16.520251,41295.0171,2927.012809,252.995951,16461.12893,2570.03437,44199.45644,3085.253624,1
48759.69601,3754.342687,310.300969,36.035615,18.522888,44925.00594,3428.90012,296.271472,19263.22325,2899.540808,48462.04527,3705.81253,1
51713.31465,4605.45163,342.075393,38.007302,19.675052,47389.58977,4186.552926,325.07662,21416.62608,3064.332091,51340.98734,4578.86847,1
52608.67835,5443.114405,348.381191,36.75046,19.495729,47903.66262,4925.921102,328.69448,22240.65759,2999.909508,52006.71159,5408.37638,1
51129.02869,6004.61218,328.47815,32.699343,17.985666,46264.43985,5412.539163,306.804801,21524.21688,2728.814991,50275.06095,5942.890223,1
46716.63859,6189.820081,290.793331,27.607243,15.557884,42029.17455,5560.623415,267.958547,19741.20699,2327.71684,45701.8875,6092.147333,1
40307.12811,6126.351247,248.014712,23.711382,12.937347,36097.45498,5488.920102,224.729641,18023.89219,1905.800172,39269.27049,5988.711929,1
33744.58819,6103.842676,211.129047,22.267957,10.771259,30108.38605,5458.276537,187.911207,17269.56364,1556.272596,32735.87013,5921.105832,1
29631.36794,6332.713517,186.202945,23.260117,9.348146,26370.26858,5654.566137,163.354248,17749.54597,1321.419622,28595.68463,6100.426732,1
29753.0401,6820.232681,174.239656,25.738061,8.570867,26439.48629,6083.306686,151.938431,19208.46092,1193.079479,28533.19231,6538.5174,1
33779.04154,7428.237614,175.489007,28.184702,8.207697,30004.77601,6622.494411,153.654873,20613.28349,1136.962552,32245.47792,7104.728873,1
39389.34546,7887.269103,189.090681,29.498893,8.091827,34986.1251,7032.220658,167.356006,21061.39092,1125.200959,37516.51675,7539.262333,1
43686.08816,7835.683964,211.550316,28.903729,8.167475,38814.17868,6988.795015,189.501983,20123.40478,1134.708165,41585.01228,7493.487551,1
44907.27466,7191.316884,234.970419,26.584143,8.421991,39957.8601,6416.249459,212.34956,18044.30912,1149.635494,42780.40268,6882.975978,1
43538.72772,6254.859537,251.055309,23.465884,8.848225,38890.72374,5578.735589,227.675727,15699.61233,1164.037987,41572.31297,5987.433877,1
41603.01099,5538.936319,254.858928,20.919545,9.425894,37422.06803,4931.928657,230.516025,14080.00014,1186.097389,39876.73758,5290.051015,1
40880.16012,5463.740654,246.46953,19.962749,10.040944,37086.07518,4851.93988,220.973435,13891.4957,1228.839635,39347.56818,5192.102093,1
42111.00561,6104.755179,230.876394,20.793344,10.528131,38469.54013,5408.870472,204.225883,15168.34323,1302.570293,40635.69269,5769.867546,1
45022.52435,7216.047018,213.415952,22.634938,10.702358,41257.26896,6388.880305,186.141526,17202.58351,1397.30723,43422.95657,6795.499854,1
48590.83427,8370.324367,196.790805,24.120055,10.450303,44485.70184,7414.773046,170.031947,18820.9672,1484.313465,46689.34969,7865.603897,1
51439.12711,9251.615038,181.460391,24.176968,9.807438,46919.53571,8203.285366,156.542905,19019.42568,1531.139866,49128.60125,8678.408664,1
52520.86274,9721.178119,166.593278,22.679964,8.931407,47664.59866,8623.079763,144.539862,17587.76169,1517.87646,49802.77871,9098.845686,1
51302.75527,9820.252733,150.788777,20.648919,8.030278,46315.02175,8701.707063,131.98433,15269.68498,1444.581639,48302.16341,9165.110707,1
47440.97351,9599.71122,133.572166,19.108601,7.227013,42627.45659,8481.775885,117.696899,12936.4327,1316.741559,44392.29768,8930.559576,1
41248.7284,9107.487112,116.980675,18.415415,6.632741,36918.28613,8009.737354,103.179051,11207.57772,1176.684551,38409.42561,8446.297696,1
33760.30782,8402.258848,104.37647,18.568252,6.500485,30112.87414,7345.63761,91.602177,10212.27118,1097.207836,31306.01994,7771.565916,1
26329.21823,7667.902538,99.153368,20.573007,7.265134,23385.26838,6661.73014,86.495513,9964.460007,1147.028902,24280.94275,7077.254768,1
20572.25983,7168.56919,103.874018,26.259963,9.385239,18142.96838,6199.645366,90.858806,10634.05953,1333.084597,18794.66222,6604.269107,1
17529.92038,7069.323667,118.852262,36.970491,13.057832,15310.27962,6108.573552,105.617072,12408.46168,1594.536744,15808.80042,6500.371419,1
16413.78742,7301.266943,139.900023,51.632146,17.838422,14177.39982,6327.026532,127.161534,14844.72617,1830.629296,14608.1183,6701.975274,1
16267.13888,7471.37921,158.7936,66.580607,22.631602,13936.76905,6502.578333,147.635553,17085.83673,1932.932511,14348.07782,6847.770786,1
15230.09604,7132.777149,166.452439,76.718335,25.990656,12962.23767,6233.224405,157.97814,18060.69873,1838.214383,13353.71091,6528.370411,1
13025.85583,6164.221432,158.471,80.339831,27.329224,11046.52836,5409.78096,153.335103,17164.13197,1543.270382,11385.63075,5635.88986,1
10879.6946,4920.407583,147.424883,110.779019,28.979722,9357.805682,4356.698869,145.385378,14641.48838,1175.027934,9622.412437,4509.143226,1
11001.09582,3948.953665,162.855052,243.270637,36.216435,9962.692049,3578.86287,162.58702,11772.17964,946.043439,10152.35404,3668.676917,1
15050.35643,3723.095094,230.05281,538.06342,53.887407,14400.57389,3510.535452,229.63535,10063.68687,1027.269894,14529.79692,3559.228484,1
22857.83737,4347.312091,349.828403,985.168274,82.171694,22463.98465,4238.352026,347.535896,10313.39464,1436.372532,22556.26465,4267.695403,1
32474.34081,5478.080023,492.206581,1485.031031,114.811643,32207.51782,5424.4335,487.218959,12152.66231,2015.881293,32281.12242,5448.775209,1
40228.00471,6499.477186,607.055711,1882.892611,141.258659,40036.78546,6470.230667,599.782349,14240.90373,2507.465469,40102.18211,6494.728994,1
43338.88157,6843.406536,648.13535,2039.53148,151.344698,43197.87025,6823.527582,639.852576,15090.25667,2685.425124,43256.65769,6847.720038,1
40299.43188,6276.817,595.980574,1896.377554,140.392618,40198.32508,6260.169151,588.130257,13893.3407,2468.020423,40253.36986,6282.547465,1
32124.23627,4922.265727,467.207422,1505.712864,111.593841,32045.57665,4908.77221,460.868044,10895.84342,1929.305798,32095.27687,4927.289083,1
21188.13412,3216.441656,305.387441,999.721937,74.405658,21129.54129,3206.819792,301.083681,7116.003961,1256.476259,21169.02287,3219.891303,1
11267.02593,1678.010742,159.238552,532.161001,40.041363,11232.2438,1672.466838,156.885201,3707.497116,651.884782,11256.80058,1679.922833,1
4370.922896,637.208068,60.521743,208.538298,16.240832,4354.610417,634.793817,59.565112,1406.522785,245.782478,4366.912791,638.001352,1
1031.294992,143.339937,13.603203,49.679146,4.48772,1026.686097,142.682801,13.36241,315.281062,54.344557,1030.331683,143.546581,1
84.249604,9.664765,0.927723,4.07341,1.029475,83.595918,9.593106,0.906291,21.386844,3.497592,84.165745,9.681783,1
0.001542,0.000428,0.000113,0.132787,0.636246,0.000713,0.000124,5.20E-05,0.005318,0.002466,0.000727,0.000121,1
0.018363,0.003143,0.0009,0.128396,0.571734,0,0,0,0.03834,0.040116,0,0,1
215.998016,7.784487,2.75395,0.512573,0.376589,9.425168,9.931327,3.464159,10.63904,5.258497,178.45504,10.133269,2
172.870519,5.959162,2.477691,0.441345,0.390041,8.92829,7.606403,3.128866,9.543725,4.927631,165.219205,8.432965,2
140.499416,4.530183,2.320897,0.379134,0.411198,7.920545,5.891643,2.873323,8.38835,4.715186,156.343272,6.994629,2
113.776954,3.691932,2.347641,0.331465,0.444609,7.267416,4.955657,2.74292,7.262303,4.56164,138.778055,5.902953,2
92.043955,3.625126,2.572517,0.31308,0.488028,6.055262,4.859175,2.739381,6.379391,4.329825,115.700366,5.402339,2
68.750402,4.187163,2.952475,0.332115,0.533347,5.448095,5.197444,2.833141,5.76412,3.935812,84.733577,5.401751,2
43.436826,5.220109,3.397324,0.391195,0.569549,4.538692,5.671188,2.981799,5.444435,3.457753,51.419938,5.878601,2
23.865441,6.43183,3.801026,0.479602,0.587895,4.183816,6.004777,3.146914,5.338642,3.072475,26.318852,6.64364,2
12.024125,7.430319,4.070698,0.583784,0.587973,3.854469,6.126029,3.291,5.417099,2.966484,11.879996,7.363693,2
6.953813,7.926218,4.149379,0.672193,0.577554,3.684272,6.078302,3.377344,5.85066,3.223432,6.843255,7.759013,2
5.275649,7.90111,4.034916,0.713221,0.569057,3.601545,6.008513,3.378418,6.924869,3.79211,6.261147,7.740386,2
4.637611,7.536485,3.78013,0.693819,0.572316,3.513461,6.061583,3.288528,8.815947,4.498257,6.381491,7.412932,2
4.268781,7.133931,3.465507,0.630724,0.58745,3.423,6.356024,3.126404,11.294266,5.115101,6.1898,7.010402,2
7.187981,6.874466,3.163699,0.551804,0.60595,3.346753,6.842284,2.925658,13.784281,5.451986,7.283162,6.702217,2
17.571373,6.904751,2.907553,0.49079,0.616702,3.330545,7.426021,2.713798,15.506227,5.405838,12.050054,6.646151,2
38.928838,7.18019,2.687729,0.466869,0.608865,3.386768,7.873073,2.510132,15.831999,4.996404,23.656326,6.86727,2
70.577389,7.533494,2.48203,0.478905,0.583197,3.679846,7.974624,2.329423,14.55714,4.347628,41.362668,7.255442,2
103.633455,7.779515,2.282986,0.509192,0.550069,3.988398,7.647553,2.180116,12.050097,3.640529,60.983503,7.628399,2
131.556568,7.747206,2.116233,0.535061,0.522738,4.558225,6.965039,2.072286,9.027366,3.070655,78.043381,7.77512,2
139.586473,7.376608,2.027694,0.543286,0.508185,4.77407,6.044526,2.021266,6.256785,2.769837,83.640914,7.577927,2
131.084477,6.583278,2.052842,0.533888,0.506388,5.059997,4.97983,2.036676,4.282535,2.755147,79.692011,6.911193,2
101.904254,5.63503,2.181981,0.511504,0.511639,4.728094,4.06996,2.10265,3.324307,2.918207,62.761607,6.054823,2
69.726457,4.74007,2.359145,0.479209,0.523245,4.490618,3.473252,2.183974,3.224564,3.083237,44.183055,5.249818,2
36.424912,4.293447,2.510873,0.440048,0.544111,3.677603,3.341576,2.244806,3.606529,3.092215,23.92888,4.911895,2
16.409452,4.484373,2.587689,0.403485,0.576835,3.204319,3.645766,2.272944,4.080116,2.909503,11.99006,5.231113,2
4.926509,5.276278,2.584337,0.381172,0.621411,2.514501,4.269991,2.281923,4.411892,2.625055,4.704664,6.146037,2
2.395701,6.229458,2.529213,0.380522,0.671626,2.226608,4.890537,2.294591,4.592219,2.385974,3.123111,7.163011,2
2.000384,6.964203,2.462777,0.399285,0.714563,1.880462,5.304988,2.327428,4.799547,2.350875,2.661532,7.861735,2
2.05963,7.18167,2.410833,0.428924,0.734002,1.682628,5.406297,2.377659,5.250152,2.644413,2.609297,7.934514,2
2.553958,7.087009,2.375145,0.459852,0.71989,1.453629,5.39565,2.424316,5.994682,3.290372,2.692238,7.589952,2
3.110925,6.966906,2.343959,0.483967,0.680315,1.274548,5.516183,2.442499,6.891974,4.190122,3.039456,7.184151,2
3.900376,7.092476,2.313442,0.496665,0.635403,1.239363,5.95834,2.422225,7.62894,5.152293,3.630735,7.055245,2
4.373246,7.445803,2.303337,0.490717,0.607174,1.233472,6.649547,2.378418,7.883476,5.976455,4.212821,7.24028,2
4.588266,7.889102,2.342972,0.466166,0.604898,1.448207,7.350121,2.343886,7.544133,6.522624,4.564812,7.614817,2
4.457232,8.099086,2.439131,0.429597,0.624191,1.639841,7.701562,2.341148,6.701817,6.725742,4.653004,7.855051,2
3.913221,7.792478,2.560354,0.396992,0.648753,1.885531,7.460259,2.363871,5.592053,6.629449,4.142047,7.676909,2
3.508118,6.959092,2.642555,0.388877,0.661782,2.068737,6.64899,2.376193,4.4522,6.33719,3.650464,7.05696,2
2.840801,5.855775,2.622984,0.414276,0.653691,2.124351,5.543714,2.329993,3.504533,5.932908,2.739639,6.231077,2
2.644569,4.845159,2.483164,0.460462,0.626491,2.143496,4.538846,2.201103,2.881793,5.468631,2.389974,5.499881,2
2.273331,4.168,2.261568,0.503866,0.588381,1.954015,3.890798,2.001176,2.639287,4.95868,1.969386,5.046493,2
2.251928,3.906274,2.026855,0.524748,0.550126,1.811578,3.665195,1.773184,2.665895,4.403551,2.271399,4.902278,2
2.072468,3.988274,1.844872,0.516834,0.516114,1.550033,3.741093,1.578598,2.797782,3.867822,2.480407,4.996248,2
1.999568,4.310756,1.770123,0.480296,0.482441,1.536548,3.986685,1.493539,2.883509,3.536916,3.009092,5.261635,2
1.89949,4.799826,1.82511,0.426574,0.447284,1.639025,4.306953,1.56962,2.883533,3.549992,3.283282,5.67995,2
1.745763,5.300447,1.988388,0.366431,0.417427,2.0078,4.586677,1.795695,2.847672,3.915856,3.403927,6.130397,2
1.794843,5.601972,2.203854,0.31317,0.40544,2.452926,4.695613,2.100336,2.864018,4.491936,3.388003,6.421088,2
2.313941,5.510669,2.410282,0.272597,0.419173,2.808597,4.529331,2.382633,2.987991,5.053153,3.478466,6.322572,2
6.965164,5.033382,2.55959,0.243351,0.45578,3.001987,4.066139,2.551877,3.195822,5.419316,6.132,5.791351,2
22.346001,4.401317,2.61679,0.221164,0.503092,2.983629,3.400291,2.552045,3.417479,5.505752,13.440838,4.985505,2
57.077303,3.875587,2.572295,0.208909,0.546477,3.073227,2.694014,2.382421,3.580613,5.331666,27.568925,4.137445,2
111.355043,3.655945,2.446499,0.217634,0.570872,3.470405,2.149037,2.095916,3.670859,5.004527,45.807222,3.513012,2
177.267401,3.750157,2.280051,0.255856,0.570397,4.301451,1.908985,1.773119,3.809373,4.634749,64.349392,3.259587,2
235.571093,4.04882,2.116951,0.323782,0.552007,5.607127,2.019105,1.491229,4.189415,4.279787,76.656008,3.382519,2
269.047853,4.444934,1.984292,0.410384,0.533822,7.10228,2.42954,1.2967,4.985735,3.950593,79.112776,3.793713,2
265.237678,4.858888,1.87701,0.496758,0.533544,8.619576,3.053654,1.19207,6.231119,3.641491,71.199836,4.406146,2
226.725245,5.342726,1.7683,0.561302,0.55843,9.582175,3.831743,1.147664,7.730389,3.386707,55.928339,5.212156,2
166.281245,5.929255,1.64091,0.585181,0.601497,9.941673,4.689026,1.132368,9.111281,3.238527,38.809206,6.190109,2
103.516775,6.584704,1.507742,0.572024,0.643343,9.452779,5.528423,1.132079,9.965037,3.202659,24.161346,7.218537,2
53.623942,7.215031,1.394836,0.54998,0.664343,8.40728,6.243428,1.142206,10.045736,3.218664,14.710769,8.104525,2
23.725298,7.654256,1.32737,0.548732,0.657687,6.992989,6.739774,1.166524,9.357251,3.192004,9.723058,8.593546,2
10.622323,7.739814,1.318021,0.589879,0.632597,5.584804,6.957064,1.214229,8.12883,3.081016,7.500834,8.502214,2
6.644956,7.400475,1.361,0.667065,0.613306,4.439954,6.850646,1.28794,6.721649,2.909195,6.098616,7.813401,2
5.279903,6.71213,1.42743,0.748337,0.62084,3.732092,6.435163,1.376002,5.496789,2.736645,5.081308,6.710354,2
4.461741,5.831653,1.489098,0.791909,0.654281,3.533254,5.803285,1.467934,4.718033,2.632742,4.460715,5.487397,2
4.103937,4.916211,1.53919,0.770229,0.69383,3.652519,5.09353,1.56246,4.454754,2.607382,4.170642,4.421077,2
4.04509,4.126641,1.594301,0.682833,0.714191,3.919782,4.484896,1.666219,4.60163,2.65983,4.220531,3.721109,2
4.160717,3.575863,1.674394,0.56003,0.698414,4.108822,4.097747,1.783264,4.988702,2.811605,4.533593,3.47823,2
4.460343,3.321601,1.776851,0.451364,0.650226,4.187865,3.954533,1.895475,5.514459,3.072229,5.259237,3.658323,2
4.840212,3.296696,1.875871,0.403739,0.590809,4.095731,3.985965,1.968233,6.153314,3.441508,6.137811,4.094023,2
5.22972,3.363456,1.940288,0.43809,0.545315,3.800349,4.092218,1.97062,6.916707,3.942487,7.054431,4.58168,2
5.430245,3.411785,1.956926,0.535925,0.532175,3.340294,4.195303,1.899609,7.733629,4.543011,7.48662,4.95051,2
5.374117,3.455072,1.940531,0.657313,0.552089,2.793632,4.310147,1.786671,8.465259,5.130338,7.388668,5.167994,2
5.056554,3.572685,1.922864,0.76287,0.588018,2.286254,4.472965,1.685433,8.931773,5.542098,6.638011,5.275802,2
4.588014,3.768888,1.939255,0.8211,0.621347,1.910731,4.658862,1.650572,8.941591,5.64411,5.553182,5.300113,2
4.169405,4.029547,2.013819,0.815659,0.641747,1.774456,4.827806,1.716512,8.373745,5.400187,4.46145,5.304959,2
3.950434,4.323463,2.141072,0.754231,0.646852,1.877327,4.930686,1.875549,7.264523,4.906142,3.652697,5.323922,2
3.933329,4.609425,2.280294,0.655978,0.644662,2.11944,4.925405,2.071864,5.84328,4.343451,3.175433,5.35748,2
85.963083,5.083443,1.484208,0.666509,0.614633,1.633504,3.190937,1.376633,5.884482,5.077861,88.797674,5.844378,3
97.507246,4.361255,1.546385,0.559884,0.681602,1.664119,2.332965,1.344444,6.696674,4.749716,100.273725,5.081608,3
95.301102,3.492657,1.72301,0.420774,0.736911,1.73688,1.619293,1.453668,7.278377,4.495391,97.614062,4.113687,3
80.275487,2.662453,2.008594,0.301086,0.785786,1.799413,1.138989,1.687146,7.342506,4.344677,81.833017,3.143894,3
57.544397,2.110752,2.377993,0.242937,0.84202,1.796408,0.9775,2.005008,6.792115,4.262586,58.598953,2.435124,3
34.438041,1.962989,2.781899,0.259621,0.911303,1.743422,1.162701,2.352165,5.805942,4.207805,35.532053,2.136755,3
16.673601,2.183487,3.148958,0.330601,0.981812,1.641569,1.658326,2.667679,4.734801,4.168185,18.459633,2.236203,3
6.486177,2.57441,3.40036,0.419255,1.028239,1.544317,2.307197,2.901073,3.898634,4.159853,9.251183,2.538625,3
2.523665,2.899028,3.481061,0.488138,1.029318,1.580242,2.932015,3.029152,3.510961,4.19209,6.059507,2.817471,3
1.770592,3.008029,3.378948,0.511298,0.977575,1.95699,3.379978,3.055671,3.612491,4.220269,5.488735,2.937887,3
2.414715,2.972527,3.126818,0.4913,0.887101,2.865656,3.634418,3.002414,4.164797,4.145786,5.604244,2.945406,3
3.884331,2.953233,2.794698,0.448007,0.790139,4.26732,3.765127,2.900217,5.054115,3.936706,6.076788,2.966355,3
5.86885,3.093646,2.452313,0.40697,0.715593,5.896541,3.842963,2.766914,6.057226,3.67193,6.959617,3.086322,3
7.987644,3.433635,2.142182,0.383775,0.675938,7.317439,3.911506,2.598352,6.922708,3.532162,8.041262,3.297199,3
9.69474,3.866831,1.871542,0.381915,0.665678,8.113628,3.959075,2.377046,7.406485,3.661098,8.869562,3.511563,3
10.435747,4.169417,1.637393,0.39089,0.673218,8.017588,3.916047,2.110405,7.31935,4.091328,8.92252,3.600375,3
9.99204,4.151562,1.445651,0.395349,0.691977,7.066649,3.701052,1.845517,6.628047,4.691392,7.965235,3.489576,3
8.550255,3.755173,1.306793,0.386615,0.713724,5.610898,3.277178,1.638601,5.498935,5.212967,6.212328,3.190419,3
6.621306,3.097798,1.220545,0.364579,0.728676,4.149594,2.70277,1.516715,4.266208,5.420527,4.201432,2.794661,3
4.932805,2.425857,1.173902,0.333192,0.729881,3.095011,2.119506,1.470335,3.372692,5.220806,2.495879,2.423073,3
4.158861,2.002791,1.152134,0.293827,0.713514,2.624226,1.729097,1.471709,3.214878,4.672357,1.546704,2.184251,3
5.11848,1.933006,1.145097,0.24935,0.679067,2.690355,1.629273,1.490653,3.915993,3.928773,2.17037,2.08662,3
8.92511,2.141165,1.15575,0.205655,0.633447,3.094454,1.774084,1.508269,5.258348,3.178428,5.787967,2.061443,3
16.255644,2.487587,1.193569,0.171701,0.589332,3.566043,2.049511,1.519287,6.770461,2.602209,13.382179,2.069123,3
26.823531,2.823663,1.260247,0.157581,0.554652,3.933483,2.311088,1.522454,7.912665,2.315992,24.670255,2.113073,3
38.46137,3.053979,1.34659,0.173383,0.531028,4.08274,2.426318,1.517842,8.295302,2.350391,37.475064,2.224031,3
47.886974,3.144092,1.426456,0.219639,0.519054,3.942211,2.325278,1.499372,7.788792,2.659934,48.199293,2.41831,3
51.957571,3.106697,1.464327,0.284563,0.51638,3.537098,2.039027,1.456855,6.587377,3.109698,53.361489,2.666471,3
49.182092,2.983438,1.438645,0.347115,0.518486,2.974378,1.694449,1.386053,5.096103,3.525631,51.043263,2.906136,3
40.309554,2.822871,1.360267,0.388194,0.528446,2.359221,1.436477,1.29893,3.744771,3.741422,42.18772,3.064083,3
28.22727,2.650175,1.269934,0.401807,0.568421,1.793322,1.367066,1.226459,2.830934,3.669714,29.661476,3.086024,3
16.667658,2.465223,1.217332,0.395886,0.655763,1.411264,1.51806,1.203687,2.412435,3.326085,17.619801,2.957986,3
8.268139,2.25435,1.244145,0.383619,0.782484,1.294081,1.836916,1.25278,2.331938,2.809307,8.78117,2.710988,3
3.885391,2.012666,1.376112,0.377604,0.920141,1.486574,2.253945,1.377768,2.40713,2.260255,4.066329,2.404378,3
3.571094,1.771502,1.613293,0.386131,1.026843,1.878006,2.698656,1.567361,2.526866,1.811938,3.507972,2.117702,3
7.921219,1.545497,1.921542,0.409027,1.064231,2.355359,3.081756,1.794321,2.589741,1.558489,7.702904,1.889432,3
17.234786,1.345105,2.239966,0.43783,1.017,2.827738,3.326484,2.021629,2.531706,1.57564,17.04601,1.738405,3
30.856073,1.185976,2.503472,0.456276,0.896609,3.222367,3.392069,2.208308,2.360983,1.884499,31.036349,1.670408,3
45.743252,1.070378,2.655549,0.45485,0.73661,3.513149,3.279268,2.313315,2.116143,2.434405,46.323052,1.663505,3
57.592037,1.002796,2.672231,0.435769,0.582942,3.705146,3.023243,2.312936,1.875562,3.098606,58.031235,1.692448,3
62.469395,0.986971,2.579989,0.407297,0.476947,3.799697,2.676022,2.217757,1.715298,3.71671,62.495177,1.750824,3
58.717751,1.014195,2.432619,0.379473,0.432165,3.783069,2.305331,2.059437,1.677755,4.141422,57.892179,1.831165,3
47.764547,1.07044,2.279773,0.359722,0.432902,3.621339,1.961684,1.876372,1.761083,4.277755,46.401564,1.921317,3
33.425717,1.186995,2.145882,0.350306,0.457375,3.306293,1.685778,1.70204,1.924306,4.124462,31.892524,2.05392,3
20.0458,1.432486,2.022643,0.345781,0.491415,2.915259,1.508459,1.555818,2.117133,3.770271,19.000718,2.307073,3
10.63361,1.866964,1.877058,0.337732,0.522747,2.565651,1.429326,1.440864,2.318599,3.350209,10.473118,2.7429,3
5.839808,2.47725,1.680348,0.320316,0.545618,2.34871,1.42667,1.346441,2.51637,2.992409,6.550019,3.337673,3
4.426782,3.159574,1.436421,0.295327,0.558066,2.273035,1.447498,1.259427,2.706601,2.764184,5.365911,3.968613,3
5.904063,3.814828,1.183094,0.270914,0.561447,2.288976,1.437017,1.174174,2.896859,2.655463,5.374649,4.493877,3
13.334423,4.380178,0.968722,0.26143,0.558234,2.345717,1.374441,1.091267,3.045667,2.613511,8.545502,4.831483,3
30.105661,4.824619,0.827995,0.281187,0.547545,2.429638,1.29788,1.016082,3.081837,2.587324,17.814233,4.999692,3
56.14242,5.141849,0.771048,0.338343,0.531093,2.53731,1.269645,0.957948,2.984707,2.541484,33.824591,5.081443,3
86.414863,5.280807,0.77551,0.426057,0.515657,2.692213,1.323645,0.921119,2.798347,2.445351,53.47551,5.100735,3
111.947775,5.151398,0.806038,0.522156,0.505596,2.81599,1.439027,0.909244,2.616763,2.291883,70.732518,5.002495,3
124.220385,4.741312,0.843606,0.595345,0.502838,2.880286,1.570188,0.929418,2.544098,2.11286,79.44978,4.740372,3
118.837864,4.181934,0.892423,0.618193,0.501583,2.803347,1.709182,0.987885,2.628335,1.96253,77.192965,4.36625,3
